cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30
I1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0
I2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,17,2,0,0,0,0,0,0,0,5,0,0,0,0,0
I3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,17,2,0,0,0,0,0,7,0,5,0,9,0,0,0
I4,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,17,2,0,0,0,0,0,7,0,5,0,9,0,0,0
I5,0,4,1,7,0,0,0,0,0,0,0,0,0,1,2,17,2,0,29,0,0,0,7,0,5,0,9,13,0,0
I6,17,4,1,7,0,0,0,0,0,0,0,0,0,1,2,17,2,0,29,0,0,6,7,0,5,0,9,13,0,0
I7,17,4,1,7,0,0,0,0,0,0,0,0,0,1,2,17,2,0,29,0,0,6,7,0,5,0,9,13,8,5
I8,17,4,1,7,2,0,9,0,0,0,0,0,0,1,2,17,2,0,29,0,0,6,7,0,5,0,9,13,8,5
I9,17,4,1,7,2,0,9,0,s,0,0,0,0,1,2,17,2,0,29,0,0,6,7,0,5,0,9,13,8,5
I10,17,4,1,7,2,0,9,0,s,0,0,0,0,1,2,17,2,0,29,0,0,6,7,0,5,0,9,13,8,5
1507,17,4,1,7,2,0,9,0,s,0,0,0,0,1,d,17,2,0,29,0,0,6,d,0,5,0,d,13,8,5
1506,d,4,1,7,2,0,9,0,s,0,0,0,0,d,2,17,2,0,29,0,2,6,7,0,5,0,9,13,8,5
I11,17,4,1,7,2,0,9,0,s,3,0,0,8,1,2,s,2,0,29,0,0,6,7,0,5,0,9,13,8,5
1981,17,4,d,7,2,0,9,0,s,3,0,0,8,1,2,s,2,0,29,0,0,6,7,0,5,0,9,13,8,5
1980,17,4,1,7,2,0,9,d,s,3,0,0,8,d,2,s,2,0,29,0,0,6,7,0,5,0,9,13,8,5
I12,17,4,1,7,2,0,9,0,0,0,0,0,0,1,2,17,2,0,29,0,0,6,7,0,5,0,s,13,8,5
1424,17,4,1,7,2,3,9,d,0,0,7,0,0,1,2,d,2,5,29,d,0,6,7,5,5,0,s,13,8,5
1627,17,4,1,d,2,35,9,0,0,0,0,0,8,d,2,17,2,0,29,d,s,6,7,0,5,0,s,13,8,5
I16,17,4,1,7,0,0,3,0,2,3,0,0,0,1,2,17,2,0,29,0,0,6,7,0,5,0,9,13,8,5
1310,17,4,d,7,0,0,d,0,2,3,34,0,5,s,2,17,2,d,29,d,0,6,7,5,5,s,d,13,d,5
1420,17,4,1,7,0,0,3,0,2,3,0,d,0,1,2,17,s,0,29,6,2,6,s,0,d,0,9,d,8,5
I22,17,4,1,7,0,0,11,0,0,0,0,0,0,1,2,17,2,0,29,0,0,6,7,0,5,0,9,13,14,0
I23,17,4,1,7,1,0,11,0,0,0,0,0,0,1,2,17,2,0,29,3,0,6,7,0,5,0,9,13,14,0
1639,17,4,1,7,1,d,d,0,0,0,27,4,0,1,d,17,2,4,d,3,0,6,7,s,5,0,9,d,d,0
I27,17,4,1,7,1,27,11,0,0,3,12,4,0,1,2,17,2,0,29,3,0,6,7,0,5,0,9,13,14,0
1435,17,4,1,7,d,27,11,0,s,3,12,4,0,1,2,17,2,0,29,3,2,6,7,5,d,0,9,d,14,0
1332,17,4,d,7,d,27,11,0,0,3,d,4,0,d,2,17,2,0,29,d,0,6,7,0,d,1,d,13,14,0
I30,17,4,1,7,0,0,11,0,0,0,0,0,0,1,2,17,2,0,29,0,0,6,7,0,5,1,9,13,14,0
I31,17,4,1,7,0,0,11,0,0,0,0,0,0,1,2,17,2,15,29,0,0,6,7,0,5,1,9,13,14,0
1521,17,4,1,7,0,d,11,3,0,0,0,0,d,1,2,17,2,15,29,d,s,6,7,0,5,1,d,13,d,0
1504,s,4,1,d,0,0,d,0,0,0,0,0,0,1,2,17,2,15,29,0,2,6,7,0,d,1,9,13,14,0
I34,17,4,1,7,0,0,11,0,0,0,0,0,0,1,2,17,2,0,29,0,0,6,7,0,5,1,9,13,14,0
1490,17,d,1,7,0,10,d,d,0,0,18,d,0,1,2,s,2,0,d,0,d,6,7,0,5,1,d,13,14,0
I36,17,4,1,7,0,0,11,0,2,0,4,0,0,1,2,17,2,19,29,0,0,6,7,0,5,1,9,13,14,0
1755,17,4,1,7,0,d,11,0,2,8,4,0,0,1,2,d,2,19,29,0,0,6,7,0,5,1,d,13,14,0
1754,17,4,1,7,0,d,11,0,2,0,4,0,0,1,d,17,2,19,29,0,0,6,7,d,d,1,d,13,d,0
I37,0,4,1,7,1,0,0,0,0,3,0,3,0,1,2,17,2,0,29,0,0,0,7,0,5,0,9,13,0,0
I38,0,4,1,7,1,0,0,0,0,3,0,3,0,1,2,17,2,0,29,0,0,0,7,5,5,0,9,13,0,0
I39,0,4,1,7,1,0,0,0,2,3,0,3,0,1,2,17,2,0,29,0,0,0,7,5,5,0,9,s,19,0
I40,0,4,1,7,1,0,0,7,2,3,0,3,0,1,2,17,2,0,29,0,0,0,7,5,5,0,9,s,19,0
1302,0,4,1,7,d,0,8,7,2,3,0,3,0,1,d,17,2,0,29,15,0,0,7,5,5,0,9,s,19,d
1523,0,4,1,7,1,10,d,7,2,3,0,3,0,1,2,17,2,5,d,0,d,0,7,5,5,1,d,s,19,0
I43,0,4,1,7,1,0,0,0,2,3,0,3,0,1,2,17,2,0,29,0,0,0,7,5,5,0,9,s,19,0
1448,d,4,1,7,1,d,6,0,d,3,0,3,0,1,2,17,2,0,29,d,0,d,7,5,5,0,d,s,19,0
I45,0,4,1,7,1,0,0,0,2,3,0,3,0,1,2,17,2,16,29,0,0,0,7,5,5,0,9,s,19,0
1349,0,4,1,7,1,d,s,2,2,3,0,3,0,1,2,17,2,16,29,0,0,0,d,5,d,d,9,s,19,0
1348,d,4,1,7,1,0,d,0,2,3,0,3,0,1,2,d,d,d,29,0,d,d,7,d,5,d,9,s,d,0
I46,0,4,1,7,1,0,0,0,0,3,0,3,0,1,2,17,2,0,29,0,0,0,7,5,5,0,9,13,0,0
I47,0,4,1,7,1,0,0,0,0,3,0,3,0,1,2,17,2,0,29,0,0,0,7,5,5,0,9,13,0,0
I49,0,s,1,7,1,0,0,0,0,3,0,3,8,1,2,17,2,0,29,s,2,0,7,5,5,0,9,13,0,0
1971,0,s,1,7,1,0,0,0,d,3,0,3,8,d,2,17,2,0,29,s,2,0,7,5,5,0,9,13,0,d
1970,0,s,1,7,1,0,0,0,0,d,0,d,8,d,2,17,2,0,29,s,2,d,7,5,5,d,d,13,0,0
1193,0,4,1,d,1,d,s,0,0,3,0,3,0,1,2,17,d,0,29,0,0,d,7,5,5,0,9,13,0,0
I51,0,4,1,s,1,0,0,0,2,3,0,3,0,1,2,17,2,3,29,0,0,0,7,5,5,0,9,13,0,0
I52,0,4,1,s,1,0,0,0,2,3,0,3,0,1,2,17,2,3,29,0,0,0,7,5,5,0,9,13,0,0
1125,0,4,1,s,1,0,0,0,2,d,0,3,0,1,2,d,2,d,29,0,0,0,7,5,5,0,9,d,19,0
1124,0,4,1,s,1,0,0,7,d,3,0,3,d,1,2,17,2,d,29,0,0,0,7,5,5,0,9,13,0,0
1035,0,4,d,s,1,0,d,3,2,3,0,3,0,1,2,17,2,3,29,0,d,s,d,5,5,1,9,13,0,d
I54,0,4,1,7,1,34,0,0,2,3,0,3,0,1,2,17,2,0,29,0,0,0,7,0,5,0,9,13,0,1
I55,0,4,1,7,1,34,0,0,2,3,0,3,0,1,2,17,2,0,29,0,0,0,7,0,5,0,9,13,0,1
I56,0,4,1,7,1,34,0,0,2,3,0,3,0,1,2,17,2,0,29,0,0,0,7,0,5,1,9,13,0,1
I57,s,4,1,7,1,34,0,0,2,3,0,3,0,1,2,17,2,0,29,0,0,0,7,0,5,1,9,13,0,1
1119,s,4,1,7,1,34,d,0,2,3,0,d,0,1,2,17,2,0,29,0,0,0,s,0,5,1,9,13,0,1
1118,s,4,1,7,d,34,0,d,2,d,0,3,0,1,2,17,2,0,29,24,0,0,7,0,5,1,9,13,d,1
I58,0,4,1,7,1,34,0,0,2,3,0,3,0,1,2,17,2,0,29,0,0,0,7,0,5,1,9,13,0,1
1161,0,4,1,7,1,34,0,0,2,3,0,3,8,1,d,d,2,0,29,0,0,0,7,0,5,1,9,13,d,1
1160,13,4,d,s,1,34,0,d,d,3,0,s,0,1,2,17,2,d,29,0,d,d,7,0,5,d,9,13,0,1
I59,0,4,1,7,1,34,0,0,2,3,0,3,0,1,2,17,2,0,29,0,0,0,7,0,5,0,9,13,0,1
1411,0,4,s,7,d,34,0,0,2,3,42,3,0,1,2,17,2,10,29,0,0,0,7,0,5,d,9,13,0,1
I61,0,4,1,7,1,34,0,0,2,3,0,3,8,1,2,17,2,0,29,0,0,0,7,0,5,0,9,13,0,1
1483,0,4,1,7,d,34,0,0,2,3,0,3,8,1,2,17,2,0,29,0,0,0,7,0,5,0,9,13,0,1
1482,0,4,1,7,1,34,d,0,2,3,d,3,8,1,2,17,2,d,29,0,0,0,7,0,5,d,9,13,d,1
I62,0,4,1,7,1,34,0,0,2,3,0,3,0,1,2,17,2,0,29,0,0,0,7,0,5,0,9,13,0,1
I63,0,4,1,7,1,34,5,0,2,3,0,3,0,1,2,17,2,0,29,0,0,0,7,0,5,0,9,13,0,1
I64,0,4,1,7,1,34,5,0,2,3,0,3,0,1,2,17,2,0,29,0,0,0,7,0,5,0,9,13,0,1
1113,0,4,1,7,1,34,d,0,2,3,0,3,0,1,2,17,2,0,29,d,d,d,7,d,5,0,9,13,d,1
1112,d,4,1,7,1,34,d,0,2,3,0,3,0,1,d,17,2,0,29,d,0,0,d,0,5,0,9,13,0,1
I65,0,4,1,7,1,34,5,0,2,3,0,3,0,1,2,s,2,0,29,0,0,0,7,0,5,0,9,13,0,1
1405,0,4,1,7,1,34,5,2,2,3,0,3,0,1,2,s,2,0,29,d,0,0,7,d,d,d,9,d,0,1
1404,0,4,1,7,1,34,d,0,2,3,0,3,0,1,2,s,2,0,29,0,0,0,7,0,d,d,9,13,0,1
I68,7,4,1,7,1,34,5,0,2,3,0,3,0,1,2,17,2,0,29,0,0,6,7,0,s,0,9,13,0,1
1339,7,d,1,7,1,34,5,0,2,3,0,3,0,1,2,17,2,0,29,0,d,6,7,0,s,0,9,13,0,1
1338,7,4,1,7,1,d,5,0,2,3,0,3,0,1,2,17,2,0,29,0,0,6,7,d,s,d,9,13,0,1
I69,0,4,1,0,0,28,0,0,0,0,0,0,0,s,0,17,2,1,0,0,2,0,7,0,5,0,9,0,0,0
I70,0,4,1,19,0,28,0,7,0,0,0,0,0,s,0,17,2,1,0,0,2,0,s,0,5,0,9,0,0,1
I71,0,4,1,19,0,28,0,7,0,0,25,0,0,s,0,17,2,1,0,0,2,3,s,0,5,0,9,9,0,1
I72,0,4,1,19,0,28,0,7,0,8,25,0,0,s,0,17,2,1,0,0,2,3,s,5,5,0,9,9,0,1
I73,0,4,1,19,0,28,0,7,2,8,25,0,8,s,0,17,2,1,0,0,2,3,s,5,5,0,9,9,0,1
I74,0,4,1,19,1,28,0,7,2,8,25,0,8,s,0,17,2,1,0,0,2,3,s,5,5,0,9,9,0,1
1287,0,4,1,19,1,28,0,7,2,8,25,0,8,s,0,17,2,1,0,0,2,3,s,5,5,0,9,9,0,1
1286,d,4,1,19,1,28,0,d,2,d,25,0,8,s,0,17,d,1,0,0,2,3,s,5,5,d,9,9,0,1
1151,0,4,1,19,d,28,0,d,2,8,25,d,8,s,0,17,2,1,0,0,2,d,s,5,5,0,d,9,0,1
1252,0,4,1,19,0,28,0,7,0,d,25,4,0,s,0,17,2,1,d,3,2,3,s,5,s,0,9,d,0,1
I79,0,4,1,19,0,28,0,7,0,0,25,0,0,s,0,17,2,1,0,0,2,3,s,0,5,0,9,9,0,1
I80,0,4,1,s,0,28,0,7,0,0,25,0,0,s,0,17,2,1,0,0,2,3,s,s,5,0,9,9,0,1
I81,6,4,1,s,0,28,0,7,0,8,25,0,0,s,0,17,2,1,0,0,2,3,s,s,5,0,9,9,0,1
1343,6,4,1,s,d,28,0,7,0,8,25,0,0,s,0,17,2,1,0,0,2,3,s,s,5,d,9,9,0,1
1342,6,4,1,s,0,28,0,7,d,8,25,0,0,s,0,d,2,1,0,0,2,3,s,s,5,0,9,9,0,1
1718,d,d,1,s,0,28,0,7,0,s,25,0,0,s,0,17,2,d,8,0,2,3,s,s,5,0,9,9,0,1
1110,0,4,1,19,d,28,6,7,0,s,25,d,0,s,0,17,2,s,0,0,2,3,s,0,5,0,9,9,0,1
I87,0,4,1,s,0,28,0,7,0,0,0,0,0,s,0,17,2,1,0,0,2,3,s,5,5,5,9,0,9,1
I88,0,4,1,s,0,28,0,7,0,0,0,0,0,s,0,17,s,1,0,0,2,3,s,5,5,5,9,9,9,1
I89,0,4,1,s,0,28,0,s,0,0,0,0,0,s,0,17,s,1,0,18,2,3,s,5,5,5,9,9,9,1
1191,d,4,1,s,0,d,d,s,2,d,d,0,d,s,0,17,s,1,0,18,2,3,s,5,5,5,9,9,9,d
1298,7,4,1,s,0,28,0,s,0,d,0,d,0,s,d,17,s,1,0,18,2,3,s,5,d,5,9,9,9,1
1377,0,4,1,s,3,28,0,7,d,0,d,0,d,s,0,17,s,1,d,0,2,3,s,5,5,d,9,9,d,1
I95,0,4,1,s,0,28,0,7,0,0,0,0,0,s,0,17,2,1,0,s,2,3,s,5,5,5,9,0,9,1
1251,0,4,1,s,d,28,0,d,0,0,0,s,1,s,0,17,s,1,d,s,2,3,s,5,5,5,9,13,9,1
I99,0,4,1,s,0,28,0,s,0,0,0,0,0,s,0,17,2,1,0,s,2,3,s,5,5,5,9,0,9,1
1172,d,4,1,s,0,28,0,s,0,0,6,0,0,s,d,17,2,1,0,s,2,3,s,5,5,d,9,d,d,1
I101,0,4,1,s,0,28,4,s,0,0,0,4,0,s,0,17,2,1,0,s,2,3,s,5,5,5,9,0,9,1
1407,0,4,1,s,0,28,4,s,0,0,0,4,11,s,0,17,2,1,0,s,2,3,s,5,5,5,9,d,d,1
1406,0,4,1,s,d,28,s,s,d,0,d,d,d,s,0,17,d,1,0,s,2,3,s,5,5,5,9,0,d,1
I102,0,4,1,0,0,28,0,0,0,0,0,0,0,s,0,17,2,1,0,0,2,0,7,0,5,0,9,0,11,0
I103,0,4,1,0,0,28,0,0,0,3,0,0,0,s,0,17,2,1,5,0,2,0,7,0,5,0,9,0,11,0
I104,0,4,1,0,0,28,0,0,0,3,0,2,0,s,0,17,2,1,5,26,2,0,7,0,5,0,9,0,11,1
I105,0,4,1,0,0,28,0,7,2,3,0,2,0,s,0,17,2,1,5,26,2,0,7,0,5,0,9,0,11,1
I107,9,4,1,0,1,28,5,7,2,s,0,2,0,s,2,17,2,1,5,26,2,0,7,0,s,0,s,0,11,1
1973,9,4,1,d,1,28,5,7,2,s,0,2,0,s,2,17,2,d,5,d,2,0,7,0,s,1,s,0,11,1
1972,9,d,1,0,1,28,5,7,2,s,d,2,0,s,2,17,2,1,5,d,2,d,7,0,s,0,s,0,11,1
1058,0,4,1,0,0,28,s,7,2,3,7,2,0,s,d,17,2,1,5,26,2,d,d,0,5,0,9,0,d,1
I109,0,4,1,0,0,28,0,8,0,3,0,2,0,s,0,17,2,1,s,26,2,0,7,0,5,0,9,0,11,1
1867,0,4,1,0,0,28,4,8,0,3,0,d,0,s,0,17,d,1,s,26,2,3,7,5,5,0,9,0,d,1
I113,0,4,1,0,0,28,0,8,0,3,0,2,0,s,4,17,2,1,s,26,2,0,7,0,5,0,9,0,11,1
2044,0,4,1,0,1,28,d,8,0,3,0,2,s,s,d,17,2,1,s,26,2,d,d,0,5,0,9,0,11,1
2030,0,d,1,3,0,28,0,8,0,3,0,2,12,s,4,17,2,1,s,26,2,0,7,0,5,0,9,s,11,1
I116,0,4,1,0,0,28,0,0,2,3,0,0,0,s,0,17,2,1,5,0,2,0,7,0,5,1,9,0,11,0
I119,0,4,1,0,0,28,0,0,2,3,0,2,0,s,s,17,2,1,5,0,2,0,7,5,5,1,9,0,11,0
1049,0,4,1,0,0,28,0,0,2,3,0,2,0,s,s,17,2,1,5,30,2,0,7,d,5,1,9,0,11,0
1048,0,4,d,0,0,d,0,0,2,d,0,2,0,s,s,17,2,1,5,d,2,0,7,s,5,1,d,0,11,0
I120,4,4,1,0,0,28,0,0,2,3,0,0,0,s,0,17,2,1,5,0,2,0,7,0,5,1,9,0,11,0
1023,4,4,1,0,0,28,d,0,2,3,0,0,d,s,0,17,2,1,5,0,2,0,d,0,5,1,d,0,11,0
I122,4,4,1,0,0,28,0,0,2,3,0,0,0,s,0,17,2,1,5,0,s,0,7,0,5,1,9,0,11,0
983,4,4,1,0,0,d,0,0,2,3,0,0,0,s,0,17,2,d,5,1,s,0,7,0,5,1,d,d,11,0
I123,4,4,1,0,0,28,0,0,2,3,0,0,0,s,0,17,2,1,5,0,s,0,7,0,5,1,9,0,11,0
1965,4,4,1,0,0,28,0,0,2,3,0,0,0,s,0,17,d,1,5,0,s,0,7,0,d,1,9,0,11,0
1964,4,4,1,0,0,28,0,0,2,3,d,0,0,s,0,d,2,d,5,0,s,0,7,d,5,1,9,0,d,0
I124,0,4,1,0,0,28,0,0,0,0,0,0,8,s,0,17,2,1,0,0,2,0,7,0,5,0,9,0,11,0
I126,7,4,1,0,1,28,0,0,0,0,0,4,8,s,0,17,2,1,0,0,2,0,7,0,5,0,9,7,11,0
1301,7,4,d,0,s,28,0,0,0,0,0,4,8,s,0,d,d,1,0,0,2,0,7,0,5,0,d,s,11,0
1132,7,4,1,0,1,d,0,0,0,3,0,4,8,s,0,17,2,1,0,0,2,0,7,d,5,0,9,7,11,0
I132,0,4,1,0,1,28,0,0,0,0,0,0,8,s,0,17,2,1,0,0,2,0,7,0,5,0,9,0,11,0
